,id,neighbourhood_group_cleansed,room_type,price,calculated_host_listings_count,availability_365,bedrooms,bathrooms,beds,accommodates,host_is_superhost,log_price
0,36121,Brooklyn,Private room,200.0,1,362,1.0,1.0,1.0,1,False,2.3010299956639813
1,36647,Manhattan,Private room,82.0,1,204,1.0,1.0,1.0,2,False,1.9138138523837167
2,38663,Brooklyn,Private room,765.0,1,326,5.0,2.5,5.0,2,False,2.8836614351536176
3,38833,Manhattan,Entire home/apt,139.0,1,25,1.0,1.0,1.0,2,True,2.143014800254095
4,39282,Brooklyn,Private room,130.0,2,38,1.0,1.0,1.0,2,True,2.113943352306837
5,39572,Manhattan,Private room,139.0,2,365,1.0,1.0,1.0,2,False,2.143014800254095
7,6848,Brooklyn,Entire home/apt,96.0,1,173,2.0,1.0,1.0,3,True,1.9822712330395684
8,6872,Manhattan,Private room,59.0,2,83,1.0,1.0,1.0,1,False,1.7708520116421442
9,6990,Manhattan,Private room,67.0,1,264,2.0,1.0,2.0,1,False,1.8260748027008264
11,7097,Brooklyn,Private room,195.0,2,190,1.0,1.0,2.0,2,True,2.290034611362518
13,8490,Brooklyn,Entire home/apt,216.0,2,150,1.0,1.0,4.0,5,False,2.3344537511509307
15,93313,Brooklyn,Entire home/apt,165.0,2,144,2.0,1.0,4.0,5,False,2.2174839442139063
16,94783,Brooklyn,Entire home/apt,150.0,1,48,1.0,1.0,1.0,2,True,2.1760912590556813
17,96471,Brooklyn,Private room,171.0,3,365,1.0,1.5,3.0,5,False,2.2329961103921536
18,98663,Manhattan,Entire home/apt,150.0,1,176,1.0,1.0,1.0,2,False,2.1760912590556813
19,100002,Manhattan,Private room,62.0,1,173,1.0,1.0,2.0,2,False,1.792391689498254
20,100186,Brooklyn,Entire home/apt,100.0,1,89,1.0,1.0,2.0,3,True,2.0
24,42300,Manhattan,Entire home/apt,563.0,1,145,3.0,2.0,4.0,5,False,2.7505083948513462
25,42729,Brooklyn,Private room,185.0,4,364,1.0,1.0,1.0,2,False,2.2671717284030137
26,43105,Manhattan,Entire home/apt,165.0,1,365,1.0,1.0,1.0,2,False,2.2174839442139063
27,44229,Brooklyn,Private room,110.0,2,365,1.0,1.0,1.0,2,False,2.041392685158225
28,44973,Brooklyn,Entire home/apt,77.0,1,89,1.0,1.0,2.0,2,False,1.8864907251724818
31,10452,Brooklyn,Private room,90.0,6,137,1.0,1.0,2.0,2,True,1.954242509439325
34,12940,Brooklyn,Entire home/apt,110.0,1,110,1.0,1.0,1.0,2,True,2.041392685158225
35,14314,Brooklyn,Entire home/apt,115.0,1,303,1.0,1.0,2.0,2,True,2.060697840353612
36,15341,Manhattan,Entire home/apt,169.0,1,90,1.0,1.0,2.0,3,True,2.2278867046136734
37,15385,Brooklyn,Private room,97.0,1,206,1.0,1.0,1.0,1,False,1.9867717342662448
39,16580,Manhattan,Private room,109.0,2,118,1.0,1.0,1.0,1,True,2.037426497940624
40,45910,Queens,Entire home/apt,534.0,10,365,5.0,2.5,9.0,16,False,2.727541257028556
41,45935,Bronx,Private room,60.0,1,83,1.0,1.0,1.0,1,False,1.7781512503836436
42,45936,Manhattan,Private room,97.0,2,317,1.0,1.0,1.0,2,True,1.9867717342662448
44,103555,Brooklyn,Entire home/apt,260.0,1,60,2.0,2.5,2.0,3,False,2.4149733479708178
45,105469,Queens,Private room,114.0,1,90,1.0,1.0,1.0,1,False,2.0569048513364727
46,106363,Manhattan,Private room,81.0,1,175,1.0,1.5,1.0,1,True,1.9084850188786497
47,106647,Brooklyn,Entire home/apt,161.0,1,83,2.0,1.0,3.0,4,True,2.2068258760318495
48,107630,Brooklyn,Entire home/apt,175.0,2,84,1.0,1.0,2.0,3,False,2.2430380486862944
50,112435,Brooklyn,Private room,95.0,2,365,1.0,1.0,1.0,2,False,1.9777236052888478
51,113265,Brooklyn,Private room,60.0,2,364,1.0,1.0,1.0,2,True,1.7781512503836436
52,115535,Manhattan,Private room,57.0,1,304,1.0,1.0,1.0,1,False,1.7558748556724915
54,46911,Brooklyn,Private room,85.0,3,200,1.0,1.0,1.0,2,True,1.9294189257142926
55,49048,Brooklyn,Private room,95.0,6,280,1.0,2.0,2.0,3,True,1.9777236052888478
56,16821,Manhattan,Private room,136.0,2,50,1.0,1.0,1.0,1,True,2.1335389083702174
57,16974,Manhattan,Entire home/apt,300.0,1,57,4.0,2.0,6.0,8,False,2.4771212547196626
58,17037,Manhattan,Entire home/apt,230.0,1,177,1.0,1.0,1.0,2,False,2.361727836017593
59,18152,Manhattan,Private room,70.0,1,354,2.0,1.0,1.0,2,False,1.845098040014257
60,18728,Manhattan,Private room,150.0,1,263,1.0,1.5,1.0,3,True,2.1760912590556813
62,19174,Manhattan,Entire home/apt,200.0,1,300,1.0,1.0,3.0,4,False,2.3010299956639813
63,19282,Brooklyn,Private room,94.0,1,88,1.0,2.0,2.0,4,False,1.9731278535996986
66,52689,Queens,Private room,153.0,1,20,2.0,1.0,2.0,2,True,2.184691430817599
67,53469,Queens,Entire home/apt,117.0,10,365,1.0,1.0,1.0,4,False,2.0681858617461617
68,115748,Queens,Entire home/apt,110.0,1,88,1.0,1.0,1.0,2,False,2.041392685158225
70,118061,Brooklyn,Entire home/apt,90.0,1,215,1.0,1.0,1.0,2,True,1.954242509439325
71,125163,Brooklyn,Entire home/apt,99.0,2,365,1.0,1.0,1.0,2,True,1.99563519459755
73,135465,Brooklyn,Entire home/apt,156.0,1,172,1.0,1.0,1.0,3,True,2.1931245983544616
74,136493,Brooklyn,Private room,266.0,1,71,2.0,2.5,2.0,4,False,2.424881636631067
76,53470,Queens,Entire home/apt,223.0,10,365,2.0,1.0,3.0,7,False,2.3483048630481607
77,53477,Queens,Entire home/apt,298.0,10,365,4.0,2.0,8.0,12,False,2.4742162640762553
78,54466,Manhattan,Private room,172.0,1,365,1.0,1.0,1.0,2,False,2.2355284469075487
79,54508,Brooklyn,Private room,87.0,3,211,1.0,1.5,1.0,2,True,1.9395192526186185
80,54544,Manhattan,Entire home/apt,86.0,4,59,1.0,1.0,4.0,5,False,1.9344984512435677
82,54860,Manhattan,Private room,125.0,1,354,1.0,1.0,1.0,2,False,2.0969100130080562
85,21794,Manhattan,Private room,85.0,2,364,1.0,1.0,1.0,2,False,1.9294189257142926
86,23135,Brooklyn,Private room,150.0,4,365,1.0,1.0,1.0,2,False,2.1760912590556813
87,23545,Manhattan,Entire home/apt,200.0,1,358,1.0,1.0,2.0,2,True,2.3010299956639813
88,24285,Brooklyn,Entire home/apt,200.0,1,274,3.0,3.0,7.0,5,False,2.3010299956639813
90,26785,Brooklyn,Entire home/apt,81.0,3,61,1.0,1.0,3.0,2,False,1.9084850188786497
92,55959,Brooklyn,Private room,127.0,2,33,1.0,1.0,1.0,1,True,2.103803720955957
